,GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,ADI,VMI
0,5679,"Eubanks, Drew",Drew Eubanks,20181107,sas,mia,A,20181107-sas-mia,19.5,88,95,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,5,,4,66.62,-2.99
1,5679,"Eubanks, Drew",Drew Eubanks,20181104,sas,orl,H,20181104-orl-sas,19,110,117,0,0,0,1,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,5,,4,63.92,-0.29
2,5679,"Eubanks, Drew",Drew Eubanks,20181103,sas,nor,H,20181103-nor-sas,20.5,109,95,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,5,,4,63.47,-0.21
3,5679,"Eubanks, Drew",Drew Eubanks,20181031,sas,pho,A,20181031-sas-pho,22.5,120,90,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,5,,4,62.23,+1.84
4,5679,"Eubanks, Drew",Drew Eubanks,20181029,sas,dal,H,20181029-dal-sas,20.5,113,108,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,45,,4,64.01,+0.06
5,5679,"Eubanks, Drew",Drew Eubanks,20181027,sas,lal,H,20181027-lal-sas,20.5,110,106,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,5,,4,64.29,-0.08
6,5679,"Eubanks, Drew",Drew Eubanks,20181024,sas,ind,H,20181024-ind-sas,20.5,96,116,0,2.85,1,1,2,2,2,2,2pt 2-2ft,0,0,3500,0, 3000,0,,,10,0,4,45,,4,63.83,+0.79
7,5679,"Eubanks, Drew",Drew Eubanks,20181022,sas,lal,A,20181022-sas-lal,22.5,143,142,0,0,0,1,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,5,,4,65.47,-0.12
8,5679,"Eubanks, Drew",Drew Eubanks,20181020,sas,por,A,20181020-sas-por,22,108,121,0,3.46666666666667,1,1,2,2,1.75,2,2pt 1-2fg,0,0,3500,0, 3000,0,,,10,0,4,5,,4,66.48,-2.00
9,5679,"Eubanks, Drew",Drew Eubanks,20181017,sas,min,H,20181017-min-sas,20.5,112,108,0,0,0,1,0,0,0,0,,0,0,3500,, 3000,,,,10,,4,45,,4,65.20,-0.72
10,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181107,dal,uta,A,20181107-dal-uta,21,102,117,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,3,,3,47.76,+16.15
11,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181106,dal,was,H,20181106-was-dal,20.5,119,100,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,3,,3,63.28,+0.63
12,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181102,dal,nyk,H,20181102-nyk-dal,20.5,106,118,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,3,,3,63.97,+0.64
13,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181031,dal,lal,A,20181031-dal-lal,22.5,113,114,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,3,,3,66.07,-1.84
14,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181029,dal,sas,A,20181029-dal-sas,20.5,108,113,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,34,,3,64.01,+0.44
15,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181028,dal,uta,H,20181028-uta-dal,19,104,113,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,4,3,,3,64.24,+0.21
16,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181026,dal,tor,A,20181026-dal-tor,19.5,107,116,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,-100,,,10,0,4,3,,3,65.52,-1.55
17,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181024,dal,atl,A,20181024-dal-atl,19,104,111,0,0,0,0,0,0,0,0,,0,0,3500,0, 3100,0,,,10,0,4,34,,3,63.01,+1.52
18,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181022,dal,chi,H,20181022-chi-dal,20.5,115,109,0,0,0,0,0,0,0,0,,0,0,3500,0, 3100,0,,,10,0,4,3,,3,64.79,-0.26
19,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181020,dal,min,H,20181020-min-dal,20.5,140,136,0,0,0,0,0,0,0,0,,0,0,3500,0, 3100,-100,,,10,0,4,3,,3,65.29,-1.31
20,5669,"Antetokounmpo, Kostas",Kostas Antetokounmpo,20181017,dal,pho,A,20181017-dal-pho,22.5,100,121,0,0,0,0,0,0,0,0,,0,0,3500,, 3200,,,,10,,4,3,,3,62.23,+1.77
21,5684,"Chealey, Joe",Joe Chealey,20181111,cha,det,A,20181111-cha-det,15.5,,,,,,,,,,,,,,3500,0,,,,,10,0,1,,,1,,
22,5684,"Chealey, Joe",Joe Chealey,20181109,cha,phi,A,20181109-cha-phi,19,132,133,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,65.93,-1.61
23,5684,"Chealey, Joe",Joe Chealey,20181106,cha,atl,H,20181106-atl-cha,19,113,102,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,64.01,+0.31
24,5684,"Chealey, Joe",Joe Chealey,20181103,cha,cle,H,20181103-cle-cha,19,126,94,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,65.29,-0.91
25,5684,"Chealey, Joe",Joe Chealey,20181101,cha,okc,H,20181101-okc-cha,19,107,111,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,63.28,+0.70
26,5684,"Chealey, Joe",Joe Chealey,20181030,cha,mia,H,20181030-mia-cha,19,125,113,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,64.83,-0.56
27,5684,"Chealey, Joe",Joe Chealey,20181027,cha,phi,A,20181027-cha-phi,19.5,103,105,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,64.24,-0.05
28,5684,"Chealey, Joe",Joe Chealey,20181026,cha,chi,H,20181026-chi-cha,19,135,106,0,0,0,0,0,0,0,0,,0,0,3500,0, 3000,0,,,10,0,1,1,,1,62.69,+1.50
