name,points,position,salary
Al-Farouq Aminu,31.64,SF/PF,4900.00
Fred VanVleet,34.94,PG/SG,5500.00
Patrick Beverley,22.85,PG/SG,3700.00
Avery Bradley,24.06,SG,3900.00
Emmanuel Mudiay,34.5,PG,5600.00
Jimmy Butler,42.39,SG/SF,6900.00
George Hill,21.49,PG/SG,3500.00
Reggie Jackson,28.77,PG/SG,4800.00
Danny Green,25.04,SG/SF,4200.00
Kawhi Leonard,52.91,SF/PF,8900.00
Damian Lillard,49.87,PG,8700.00
Noah Vonleh,35.79,PF/C,6300.00
C.J. McCollum,37.38,PG/SG,6600.00
J.J. Redick,28.74,SG/SF,5100.00
Andre Drummond,48.4,C,8600.00
Bruce Brown,18.48,PG/SG,3300.00
Buddy Hield,37.82,SG/SF,6800.00
Serge Ibaka,33.29,PF/C,6000.00
Justin Jackson,17.73,SF/PF,3200.00
Tim Hardaway Jr.,35.39,SG/SF,6400.00
Maurice Harkless,20.42,SF/PF,3700.00
Ricky Rubio,31.81,PG,5800.00
Eric Bledsoe,33.84,PG/SG,6200.00
Khris Middleton,38.13,SG/SF,7000.00
Wilson Chandler,20.63,SF/PF,3800.00
Brook Lopez,28.64,C,5300.00
Reggie Bullock,21.48,SG/SF,4000.00
Damyean Dotson,19.09,SG/SF,3600.00
Pascal Siakam,32.18,PF/C,6100.00
Blake Griffin,44.65,PF/C,8500.00
Greg Monroe,16.79,C,3200.00
Jusuf Nurkic,39.4,C,7500.00
Nemanja Bjelica,27.26,SF/PF,5200.00
Tobias Harris,38.1,SF/PF,7300.00
Donovan Mitchell,36.97,PG/SG,7100.00
Mike Muscala,19.23,PF/C,3700.00
T.J. McConnell,18.7,PG/SG,3600.00
Meyers Leonard,17.07,PF/C,3300.00
Langston Galloway,17.02,PG/SG,3300.00
Evan Turner,19.59,SG/SF,3800.00
Zach Collins,16.48,PF/C,3200.00
Derrick Favors,26.14,PF/C,5100.00
Jae Crowder,20.97,SF/PF,4100.00
Joe Ingles,26.56,SG/SF,5200.00
Willie Cauley-Stein,36.61,C,7200.00
Luke Kornet,23.2,PF/C,4600.00
Lou Williams,32.67,PG/SG,6500.00
Juan Hernangomez,25.99,SF/PF,5200.00
Joel Embiid,50.76,C,10200.00
Bogdan Bogdanovic,28.24,SG/SF,5700.00
Danilo Gallinari,33.03,SF/PF,6700.00
Nikola Jokic,48.11,C,9800.00
Shai Gilgeous-Alexander,20.44,PG/SG,4200.00
D.J. Wilson,17.14,PF/C,3600.00
Marcin Gortat,15.5,C,3300.00
Malcolm Brogdon,26.18,PG/SG,5600.00
Ben Simmons,41.08,PG/SF,8800.00
Luke Kennard,16.07,SG/SF,3500.00
Giannis Antetokounmpo,53.17,SF/PF,11600.00
Rudy Gobert,36.62,C,8000.00
Paul Millsap,24.44,PF/C,5400.00
Mason Plumlee,22.66,PF/C,5000.00
Enes Kanter,23.9,C,5300.00
Seth Curry,13.98,PG/SG,3100.00
Iman Shumpert,19.34,SG/SF,4300.00
De'Aaron Fox,36.62,PG,8200.00
OG Anunoby,15.13,SF/PF,3400.00
Jamal Murray,33.26,PG/SG,7600.00
Norman Powell,13.7,SG/SF,3200.00
Delon Wright,14.91,PG/SG,3500.00
Stanley Johnson,14.84,SF/PF,3500.00
Jose Calderon,12.96,PG,3100.00
Monte Morris,19.54,PG,4700.00
Thon Maker,13.26,PF/C,3200.00
Montrezl Harrell,28.05,PF/C,6800.00
Malik Beasley,16.69,PG/SG,4100.00
Jon Leuer,12.47,PF/C,3100.00
Mike Scott,12.75,SF/PF,3300.00
Kevin Knox,22.69,SF/PF,5900.00
Allonzo Trier,13.05,PG/SG,3400.00
Royce O'Neale,11.26,SF,3100.00
Ben McLemore,10.68,SG/SF,3000.00
Frank Ntilikina,11.75,PG/SG,3300.00
Kyle Korver,11.65,SG/SF,3300.00
Tony Snell,11.63,SG/SF,3300.00
Torrey Craig,11.82,SG/SF,3500.00
Trey Lyles,11.08,SF/PF,3300.00
Dante Exum,14.68,PG/SG,4400.00
Nik Stauskas,9.58,SG/SF,3100.00
Sterling Brown,9.64,SG/SF,3200.00
Furkan Korkmaz,9.59,SG/SF,3400.00
Landry Shamet,8.79,PG/SG,3200.00
Thabo Sefolosha,8.83,SF/PF,3400.00
Gary Harris,13.48,SG,5500.00
Tyrone Wallace,7.2,PG/SG,3300.00
Yogi Ferrell,5.98,PG/SG,3100.00
Jonah Bolden,5.34,PF,3100.00
Kosta Koufos,5.2,PF/C,3100.00
Boban Marjanovic,1.17,C,3600.00
