Name,PG,SG,SF,PF,C,G,F,UTIL,Salary,Value
RotoQL NBA  #1,John Wall (WAS),Eric Gordon (HOU),Paul George (OKC),Marvin Bagley III (SAC),Clint Capela (HOU),Iman Shumpert (SAC),Bogdan Bogdanovic (SAC),Karl-Anthony Towns (MIN),50000,262.1
RotoQL NBA  #3,John Wall (WAS),Iman Shumpert (SAC),Bogdan Bogdanovic (SAC),Marvin Bagley III (SAC),Clint Capela (HOU),Jrue Holiday (NO),Jaylen Brown (BOS),Karl-Anthony Towns (MIN),50000,256.3
RotoQL NBA  #19,John Wall (WAS),Rodney Hood (CLE),Andre Iguodala (GS),Marvin Bagley III (SAC),Clint Capela (HOU),Jrue Holiday (NO),Bogdan Bogdanovic (SAC),Karl-Anthony Towns (MIN),50000,252.8
RotoQL NBA  #8,John Wall (WAS),Bogdan Bogdanovic (SAC),Paul George (OKC),Marvin Bagley III (SAC),Clint Capela (HOU),Marcus Smart (BOS),Jaylen Brown (BOS),Karl-Anthony Towns (MIN),49800,258
DFS Guru NBA/MLB/NFL  #10,John Wall (WAS),Andre Iguodala (GS),Bogdan Bogdanovic (SAC),Marvin Bagley III (SAC),Clint Capela (HOU),Jrue Holiday (NO),Jaylen Brown (BOS),Karl-Anthony Towns (MIN),49900,251
Last 5 Games Avg  #1,Jrue Holiday (NO),Malik Beasley (DEN),Paul George (OKC),Mason Plumlee (DEN),Clint Capela (HOU),Russell Westbrook (OKC),Marvin Bagley III (SAC),Bogdan Bogdanovic (SAC),50000,262
Last 5 Games Avg  #9,John Wall (WAS),Justin Holiday (CHI),Paul George (OKC),Marvin Bagley III (SAC),Clint Capela (HOU),Jrue Holiday (NO),Bogdan Bogdanovic (SAC),Iman Shumpert (SAC),49600,267
Last 5 Games Avg  #15,John Wall (WAS),Bogdan Bogdanovic (SAC),Paul George (OKC),Mason Plumlee (DEN),Clint Capela (HOU),Jrue Holiday (NO),Marvin Bagley III (SAC),J.J. Barea (DAL),49200,261.8
Last 5 Games Avg  #20,Jrue Holiday (NO),Bogdan Bogdanovic (SAC),Paul George (OKC),Mason Plumlee (DEN),Clint Capela (HOU),Russell Westbrook (OKC),Harry Giles (SAC),Marvin Bagley III (SAC),49900,259.7
Season Avg  #1,John Wall (WAS),Bogdan Bogdanovic (SAC),Paul George (OKC),Taj Gibson (MIN),Clint Capela (HOU),Jrue Holiday (NO),Nemanja Bjelica (SAC),Marvin Bagley III (SAC),49800,271.9
