,Name,SG,PG,G,SF,PF,F,C,UTIL,Points,Salary
0,rg_proj_1,Fred VanVleet,Emmanuel Mudiay,Damian Lillard,Kawhi Leonard,Al-Farouq Aminu,Jimmy Butler,Serge Ibaka,George Hill,301.03000000000003,50000
1,rg_proj_2,Avery Bradley,Reggie Jackson,Fred VanVleet,Al-Farouq Aminu,Kawhi Leonard,Jimmy Butler,Noah Vonleh,Damian Lillard,300.36999999999995,49900
2,rg_proj_3,Patrick Beverley,Reggie Jackson,Fred VanVleet,Al-Farouq Aminu,Kawhi Leonard,Jimmy Butler,Noah Vonleh,Damian Lillard,299.15999999999997,49700
3,rg_proj_4,Avery Bradley,Fred VanVleet,Emmanuel Mudiay,Al-Farouq Aminu,Kawhi Leonard,Jimmy Butler,Brook Lopez,Damian Lillard,298.95,49800
4,rg_proj_5,Fred VanVleet,Emmanuel Mudiay,Jimmy Butler,Al-Farouq Aminu,Kawhi Leonard,Danny Green,Andre Drummond,Reggie Jackson,298.59,49600
5,rg_proj_6,Fred VanVleet,Emmanuel Mudiay,Jimmy Butler,Al-Farouq Aminu,Kawhi Leonard,Danny Green,Andre Drummond,Reggie Jackson,298.59,49500
6,rg_proj_7,Reggie Jackson,Fred VanVleet,Jimmy Butler,Al-Farouq Aminu,Kawhi Leonard,Danny Green,Andre Drummond,Emmanuel Mudiay,298.59,49400
7,rg_proj_8,Avery Bradley,Fred VanVleet,Emmanuel Mudiay,Al-Farouq Aminu,Kawhi Leonard,Jimmy Butler,Andre Drummond,Reggie Jackson,297.60999999999996,49300
8,rg_proj_9,Avery Bradley,Fred VanVleet,Emmanuel Mudiay,Al-Farouq Aminu,Kawhi Leonard,Jimmy Butler,Andre Drummond,Reggie Jackson,297.60999999999996,49200
9,rg_proj_10,Avery Bradley,Reggie Jackson,Fred VanVleet,Al-Farouq Aminu,Kawhi Leonard,Jimmy Butler,Andre Drummond,Emmanuel Mudiay,297.60999999999996,49100
