Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (12102863),James Harden,12102863,PG/SG/G/UTIL,11600,HOU@LAL 02/21/2019 10:30PM ET,HOU,63.16
SF/PF,Giannis Antetokounmpo (12102867),Giannis Antetokounmpo,12102867,SF/PF/F/UTIL,10800,BOS@MIL 02/21/2019 08:00PM ET,MIL,57.48
SF/PF,LeBron James (12102871),LeBron James,12102871,SF/PF/F/UTIL,10600,HOU@LAL 02/21/2019 10:30PM ET,LAL,53.48
C,Joel Embiid (12102875),Joel Embiid,12102875,C/UTIL,10300,MIA@PHI 02/21/2019 07:00PM ET,PHI,54.61
SF/PF,Kevin Durant (12102877),Kevin Durant,12102877,SF/PF/F/UTIL,9300,SAC@GS 02/21/2019 10:30PM ET,GS,48.77
PG,Kyrie Irving (12102881),Kyrie Irving,12102881,PG/G/UTIL,9200,BOS@MIL 02/21/2019 08:00PM ET,BOS,44.54
PG/SG,Stephen Curry (12102884),Stephen Curry,12102884,PG/SG/G/UTIL,9000,SAC@GS 02/21/2019 10:30PM ET,GS,47.30
PG,Damian Lillard (12102888),Damian Lillard,12102888,PG/G/UTIL,8600,POR@BKN 02/21/2019 07:30PM ET,POR,44.97
PG/SG,D'Angelo Russell (12102891),D'Angelo Russell,12102891,PG/SG/G/UTIL,8200,POR@BKN 02/21/2019 07:30PM ET,BKN,37.80
PG/SF,Ben Simmons (12102895),Ben Simmons,12102895,PG/SF/F/G/UTIL,7900,MIA@PHI 02/21/2019 07:00PM ET,PHI,43.42
PG/SG,Devin Booker (12102900),Devin Booker,12102900,PG/SG/G/UTIL,7700,PHO@CLE 02/21/2019 07:00PM ET,PHO,40.93
PG,Chris Paul (12102904),Chris Paul,12102904,PG/G/UTIL,7600,HOU@LAL 02/21/2019 10:30PM ET,HOU,37.65
C,Jusuf Nurkic (12102907),Jusuf Nurkic,12102907,C/UTIL,7400,POR@BKN 02/21/2019 07:30PM ET,POR,37.28
PF/C,Larry Nance Jr. (12102914),Larry Nance Jr.,12102914,PF/C/F/UTIL,7200,PHO@CLE 02/21/2019 07:00PM ET,CLE,28.00
SG/SF,Jimmy Butler (12102909),Jimmy Butler,12102909,SG/SF/F/G/UTIL,7200,MIA@PHI 02/21/2019 07:00PM ET,PHI,36.80
PG,De'Aaron Fox (12102918),De'Aaron Fox,12102918,PG/G/UTIL,7100,SAC@GS 02/21/2019 10:30PM ET,SAC,36.29
C,Clint Capela (12102923),Clint Capela,12102923,C/UTIL,7000,HOU@LAL 02/21/2019 10:30PM ET,HOU,40.64
C,Deandre Ayton (12102921),Deandre Ayton,12102921,C/UTIL,7000,PHO@CLE 02/21/2019 07:00PM ET,PHO,35.98
PF/C,Kevin Love (12102925),Kevin Love,12102925,PF/C/F/UTIL,6900,PHO@CLE 02/21/2019 07:00PM ET,CLE,34.08
PG,Eric Bledsoe (12102929),Eric Bledsoe,12102929,PG/G/UTIL,6800,BOS@MIL 02/21/2019 08:00PM ET,MIL,33.24
C,Hassan Whiteside (12102932),Hassan Whiteside,12102932,C/UTIL,6700,MIA@PHI 02/21/2019 07:00PM ET,MIA,35.22
PG/SG,CJ McCollum (12102938),CJ McCollum,12102938,PG/SG/G/UTIL,6600,POR@BKN 02/21/2019 07:30PM ET,POR,32.92
SF/PF,Tobias Harris (12102934),Tobias Harris,12102934,SF/PF/F/UTIL,6600,MIA@PHI 02/21/2019 07:00PM ET,PHI,37.26
SG,Klay Thompson (12102942),Klay Thompson,12102942,SG/G/UTIL,6500,SAC@GS 02/21/2019 10:30PM ET,GS,34.45
SG/SF,Buddy Hield (12102945),Buddy Hield,12102945,SG/SF/F/G/UTIL,6400,SAC@GS 02/21/2019 10:30PM ET,SAC,32.96
PF/C,Kenneth Faried (12102950),Kenneth Faried,12102950,PF/C/F/UTIL,6300,HOU@LAL 02/21/2019 10:30PM ET,HOU,22.59
SG/SF,Khris Middleton (12102959),Khris Middleton,12102959,SG/SF/F/G/UTIL,6200,BOS@MIL 02/21/2019 08:00PM ET,MIL,33.12
SG/SF,Josh Richardson (12102954),Josh Richardson,12102954,SG/SF/F/G/UTIL,6200,MIA@PHI 02/21/2019 07:00PM ET,MIA,31.44
