"Shaun Livingston",3000,GSW,PG,SAC,34.3995,13.3835,17.75
"Jordan Bell",3200,GSW,PF,SAC,26.46676,11.13484,13.24
"Damion Lee",3000,GSW,SG,SAC,31.79796,14.12868,16.86
"Kevon Looney",3700,GSW,PF/C,SAC,44.84502,18.79086,23.43
"Jonas Jerebko",4100,GSW,SF/PF,SAC,39.99999,15.42771,20.01
"Kevin Durant",10600,GSW,SF/PF,SAC,91.43736,27.41944,58.84
"Damian Jones",3300,GSW,C,SAC,30.38528,11.1108,15.76
"Jacob Evans",3000,GSW,SG,SAC,1.80737,0.29204,1.49
"Bryn Forbes",3900,SAS,PG/SG,MIL,35.5593,12.49325,20.65
"Derrick White",3700,SAS,PG,MIL,23.00849,8.90874,11.51
"Patty Mills",3500,SAS,PG/SG,MIL,40.76379,17.50221,22.41
"Marco Belinelli",3600,SAS,SG/SF,MIL,27.34614,11.19798,16.02
"LaMarcus Aldridge",7600,SAS,PF/C,MIL,70.74724,26.72582,41.18
"Dante Cunningham",3700,SAS,SF/PF,MIL,30.94508,12.07823,17.23
"DeMar DeRozan",8000,SAS,SG/SF,MIL,66.71885,20.24572,41.83
"Rudy Gay",5900,SAS,SF/PF,MIL,46.77156,15.83604,30.69
"Andre Iguodala",3500,GSW,SG/SF,SAC,41.2151,13.96666,24.46
"Klay Thompson",6700,GSW,SG,SAC,56.90393,21.70097,37.61
"De'Aaron Fox",7000,SAC,PG,GSW,56.74578,19.41303,38.29
"Buddy Hield",5500,SAC,SG/SF,GSW,55.12104,20.74644,30.42
"Iman Shumpert",3600,SAC,SG/SF,GSW,33.37622,14.04076,19.61
"Gorgui Dieng",3200,MIN,PF/C,CHI,24.1128,9.9552,13.6
"Tyus Jones",3400,MIN,PG,CHI,17.47126,8.40788,8.74
"Derrick Rose",6500,MIN,PG/SG,CHI,64.62255,31.0356,34.95
"Dario Saric",4600,MIN,PF,CHI,49.18264,20.21068,24.89
"Nemanja Bjelica",4200,SAC,SF/PF,GSW,47.9655,16.35975,24.75
"Willie Cauley-Stein",5800,SAC,C,GSW,55.84194,20.93658,33.18
"Harry Giles",3000,SAC,PF,GSW,14.4536,2.8304,11.6
"Quinn Cook",4900,GSW,PG,SAC,45.93952,17.65016,27.28
"Justin Jackson",3200,SAC,SF,GSW,18.23672,8.29596,10.28
"Frank Mason",3200,SAC,PG,GSW,24.6207,12.32426,13.91
"Bogdan Bogdanovic",4000,SAC,SG/SF,GSW,50.2336,23.32656,26.72
"Marvin Bagley III",4500,SAC,PF,GSW,32.53306,6.37084,26.11
"Davis Bertans",3200,SAS,PF/C,MIL,32.2725,13.08125,16.25
"Jakob Poeltl",3100,SAS,C,MIL,17.85107,7.93877,8.93
"Dennis Smith Jr.",5100,DAL,PG,BOS,44.13838,15.64046,27.83
"Wesley Matthews",4900,DAL,SG/SF,BOS,40.8107,14.46067,23.59
"Harrison Barnes",5600,DAL,SF/PF,BOS,48.18385,18.66117,32.23
"Daniel Theis",3000,BOS,PF/C,DAL,21.20664,9.87168,10.92
"Marcus Morris",5300,BOS,SF/PF,DAL,50.07684,20.55028,25.72
"Terry Rozier",4000,BOS,PG/SG,DAL,47.32176,21.65744,25.36
"Marcus Smart",3700,BOS,PG/SG,DAL,45.31733,17.25187,22.67
