Name,DFS Guru,Last 5 Games Avg,RotoQL,Season Avg
Anthony Davis,0.0,61.8,0.0,0.0
Giannis Antetokounmpo,57.07706723,57.2,57.43913888,55.7
James Harden,58.32397068,53.95,54.7425552,52.5
Russell Westbrook,57.16647491,53.9,58.32252091,53.7
Kevin Durant,50.87346143,48.15,51.15122615,49.5
Stephen Curry,0.0,0.0,0.0,0.0
Karl-Anthony Towns,50.48885064,39.45,51.31763128,42.8
Nikola Jokic,45.46730845,42.5,45.25574634,44.7
Kyrie Irving,42.62730849,49.05,44.35963228,42.2
Jrue Holiday,44.22164322,47.0,45.66337308,43.7
John Wall,48.39900376,39.1,48.71797634,42.9
Paul George,41.78243422,51.45,43.77141382,47.2
Kevin Love,0.0,0.0,0.0,0.0
DeMar DeRozan,41.56967409,40.0,41.63447159,43.0
Zach LaVine,37.92764911,37.1,38.85839271,40.9
Chris Paul,0.0,0.0,0.0,0.0
LaMarcus Aldridge,40.68113453,43.65,39.0173228,39.2
Clint Capela,41.94227008,48.85,40.39930478,40.0
Bradley Beal,40.07608971,34.7,39.80467952,37.4
Julius Randle,43.89106298,43.35,45.81863969,34.9
Luka Doncic,37.48745077,34.3,37.17106026,35.9
Khris Middleton,36.83764795,38.2,38.99821054,35.9
DeAndre Jordan,37.28126546,32.8,35.81678482,35.0
De'Aaron Fox,34.01700226,36.9,36.294056,37.8
Draymond Green,0.0,0.0,0.0,0.0
Eric Bledsoe,35.55593308,37.5,36.93449529,33.4
Nikola Mirotic,42.22584639,34.35,43.41726594,38.9
Klay Thompson,34.51805746,33.75,36.12445278,33.1
Steven Adams,34.16692037,38.1,35.50760591,36.3
Derrick Rose,29.93729101,33.2,31.8405544,32.2
Andrew Wiggins,32.72268392,29.3,32.77367497,29.4
Jamal Murray,32.74405368,33.1,33.67787062,31.5
Jayson Tatum,30.49238295,27.5,31.01611044,30.3
Paul Millsap,27.77786896,33.05,28.96208141,29.2
Dwight Howard,0.0,28.05,32.63930707,27.0
Jeff Teague,31.87672688,28.9,30.80730406,29.6
DeMarcus Cousins,0.0,0.0,0.0,0.0
Dennis Schroder,31.91412432,35.85,33.21142508,33.3
Jabari Parker,31.27102646,35.6,30.72167193,29.4
Rudy Gay,30.51539144,32.75,31.55258498,30.5
Al Horford,31.15117061,30.95,31.17833175,30.0
Willie Cauley-Stein,32.59441345,30.35,32.60398994,32.5
Gary Harris,0.0,29.1,0.0,0.0
Robert Covington,32.47463128,29.3,32.94714738,27.7
Harrison Barnes,30.9906323,30.65,30.57309074,26.8
Tristan Thompson,26.09901756,33.5,27.24378839,29.4
Buddy Hield,29.47997587,31.0,30.11195246,32.1
Otto Porter Jr.,30.21832231,28.65,29.7942181,24.7
Will Barton,0.0,0.0,0.0,0.0
Kris Dunn,0.0,0.0,0.0,0.0
Gordon Hayward,0.0,0.0,0.0,0.0
Elfrid Payton,0.0,0.0,0.0,0.0
Wendell Carter Jr.,28.28908869,21.75,28.80906714,27.9
Larry Nance Jr.,18.5064209,24.45,17.9444319,22.6
E'Twaun Moore,26.11212184,24.4,27.19525989,24.5
Marcus Morris,25.32107541,20.65,24.91149225,25.3
Jordan Clarkson,23.92611176,25.4,23.74038531,24.2
Brook Lopez,27.14244887,18.75,27.33007184,22.9
Dennis Smith Jr.,0.0,22.9,0.0,0.0
Collin Sexton,25.06262739,28.55,26.11739258,21.3
Lauri Markkanen,0.0,0.0,0.0,0.0
Bobby Portis,0.0,0.0,0.0,0.0
Malcolm Brogdon,26.07923533,24.85,28.29643436,25.7
Wesley Matthews,21.58895339,22.65,21.92281799,25.9
Quinn Cook,26.96572002,25.3,27.95369875,18.5
Cedi Osman,26.42977532,21.3,27.62852971,24.0
Juancho Hernangomez,24.57153054,26.4,23.43576917,18.1
Dario Saric,23.63181652,19.7,22.4293762,22.4
Justin Holiday,24.62384489,30.4,25.48719178,26.4
Marvin Bagley III,28.32436537,23.8,27.93765537,23.7
Markieff Morris,23.92143448,18.95,20.27998408,21.2
Eric Gordon,29.48351239,18.45,27.52927838,22.4
J.J. Barea,32.55059455,27.75,31.30907019,22.7
Kelly Oubre Jr.,24.74348389,22.7,25.6263847,21.7
Jerami Grant,26.86667137,24.45,26.92393512,24.0
Jeff Green,21.76194804,23.0,22.68104739,21.8
