,Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
0,20181124,4224,PG/SG,James Harden,1,66.0,"$11,100",hou,A,cle,108,117,43.63,40pt 4rb 13as 1st 9to 5trey 14-30fg 7-12ft
1,20181124,4079,PG,Russell Westbrook,1,51.5,"$10,700",okc,H,den,98,105,39.48,16pt 10rb 12as 1st 4to 1trey 6-23fg 3-7ft
2,20181124,4494,SG,Bradley Beal,1,45.0,"$7,400",was,H,nor,124,114,44.50,18pt 6rb 8as 1st 3bl 2to 1trey 7-15fg 3-7ft
3,20181124,4266,PG/SG,Eric Bledsoe,1,45.0,"$6,900",mil,H,sas,135,129,34.83,20pt 4rb 10as 2st 2to 1trey 8-15fg 3-4ft
4,20181124,4954,PG/SG,Jamal Murray,1,43.5,"$6,300",den,A,okc,105,98,39.67,22pt 8rb 8as 3to 2trey 9-23fg 2-2ft
5,20181124,4321,PG,John Wall,1,42.75,"$8,500",was,H,nor,124,114,34.47,22pt 7rb 8as 1st 5to 1trey 8-16fg 5-10ft
6,20181124,4706,PG/SG,Zach LaVine,1,42.0,"$7,800",chi,A,min,96,111,37.93,28pt 8rb 4as 4to 9-17fg 10-12ft
7,20181124,3882,PG/SG,Jose Barea,,39.75,"$4,500",dal,H,bos,113,104,26.32,20pt 3rb 8as 2st 2to 2trey 9-16fg 0-1ft
8,20181124,4212,PG/SG,Jrue Holiday,1,38.25,"$8,600",nor,A,was,114,124,36.03,16pt 5rb 9as 1st 1bl 4to 1trey 7-18fg 1-2ft
9,20181124,4367,SG,Klay Thompson,1,38.0,"$6,700",gsw,H,sac,117,116,36.28,31pt 4rb 1to 5trey 12-26fg 2-2ft
10,20181124,4379,PG,Kyrie Irving,1,37.75,"$8,700",bos,A,dal,104,113,34.55,19pt 5rb 6as 2st 1bl 5to 9-24fg 1-1ft
11,20181124,5721,PG,Collin Sexton,1,36.0,"$5,100",cle,H,hou,117,108,33.65,29pt 4rb 2as 3to 1trey 14-21fg
12,20181124,5670,PG,Luka Doncic,1,35.0,"$7,200",dal,H,bos,113,104,30.87,15pt 8as 3st 1bl 3to 3trey 5-11fg 2-2ft
13,20181124,4668,PG/SG,Jordan Clarkson,,33.25,"$5,200",cle,H,hou,117,108,27.90,20pt 5rb 4as 1st 2to 8-16fg 4-4ft
14,20181124,4073,PG/SG,Derrick Rose,,33.0,"$6,500",min,H,chi,111,96,31.13,22pt 2rb 4as 1bl 1to 2trey 9-13fg 2-2ft
15,20181124,5013,PG/SG,Malcolm Brogdon,1,32.25,"$5,000",mil,H,sas,135,129,34.53,23pt 3rb 3as 1to 3trey 10-15fg
16,20181124,4483,PG/SG,Austin Rivers,,31.5,"$3,200",was,H,nor,124,114,26.98,18pt 2rb 2as 2st 2bl 1to 1trey 8-11fg 1-1ft
17,20181124,4221,PG,Jeff Teague,1,31.0,"$6,000",min,H,chi,111,96,28.33,18pt 4rb 5as 2to 3trey 7-10fg 1-1ft
18,20181124,4677,PG/SG,Marcus Smart,,26.5,"$3,700",bos,A,dal,104,113,25.18,19pt 2rb 2as 1st 3to 3trey 5-8fg 6-6ft
19,20181124,5132,PG,De'Aaron Fox,1,25.5,"$7,000",sac,A,gsw,116,117,33.82,9pt 2rb 9as 1bl 3to 3-14fg 3-4ft
20,20181124,4595,PG/SG,Dennis Schroder,,25.5,"$6,000",okc,H,den,98,105,29.50,18pt 2rb 2as 1st 2to 2trey 5-14fg 6-6ft
21,20181124,4995,PG/SG,Bryn Forbes,1,24.0,"$3,900",sas,A,mil,129,135,30.52,18pt 2rb 1as 1st 2to 2trey 8-11fg
22,20181124,4863,PG,Quinn Cook,1,23.5,"$4,900",gsw,H,sac,117,116,29.22,6pt 6rb 5as 1bl 1to 2trey 2-11fg
23,20181124,3637,PG/SG,Devin Harris,,20.0,"$3,400",dal,H,bos,113,104,17.08,9pt 4rb 1as 2st 1to 2trey 3-8fg 1-2ft
24,20181124,5184,SG,Sterling Brown,,19.5,"$3,000",mil,H,sas,135,129,16.00,11pt 2rb 2as 1st 1to 3trey 4-6fg
25,20181124,5191,PG,Monte Morris,,19.5,"$4,200",den,A,okc,105,98,20.28,4pt 2rb 6as 2st 1-5fg 2-2ft
26,20181124,4876,PG,Tyus Jones,,19.5,"$3,400",min,H,chi,111,96,19.67,5pt 6rb 2as 2st 1-2fg 3-4ft
27,20181124,4245,PG/SG,Patty Mills,,18.0,"$3,500",sas,A,mil,129,135,22.80,9pt 2rb 3as 1bl 2-3fg 5-7ft
28,20181124,4918,SG,Timothe Luwawu,1,14.75,"$3,200",okc,H,den,98,105,20.95,3pt 5rb 1as 1st 1bl 1to 1trey 1-6fg
29,20181124,5752,SG,Deonte Burton,,12.5,"$3,000",okc,H,den,98,105,13.98,8pt 2rb 1st 4-6fg
30,20181124,5228,PG,Antonio Blakeney,,11.5,"$3,200",chi,A,min,96,111,19.53,8pt 2rb 2trey 2-7fg 2-4ft
31,20181124,4610,PG/SG,Matthew Dellavedova,,11.25,"$3,000",mil,H,sas,135,129,10.22,5pt 1rb 3as 1trey 2-2fg
32,20181124,3651,PG,Shaun Livingston,,10.5,"$3,000",gsw,H,sac,117,116,16.12,4pt 3as 1bl 2-5fg
33,20181124,4911,SG,Damion Lee,,10.25,"$3,000",gsw,H,sac,117,116,16.45,5pt 3rb 1as 1to 1trey 1-3fg 2-2ft
34,20181124,4823,PG/SG,Terry Rozier,,9.75,"$4,000",bos,A,dal,104,113,17.28,4pt 1rb 3as 1to 1trey 1-6fg 1-2ft
35,20181124,4999,SG,Malik Beasley,,9.25,"$3,100",den,A,okc,105,98,12.72,5pt 3rb 1trey 2-6fg
36,20181124,5153,PG,Frank Mason III,,8.5,"$3,200",sac,A,gsw,116,117, 6.78,4pt 2as 1st 1to 1-3fg 2-2ft
37,20181124,4980,PG/SG,Tomas Satoransky,,8.25,"$3,500",was,H,nor,124,114,15.03,2pt 3rb 1as 1st 2to 1-3fg
38,20181124,4962,PG,Ryan Arcidiacono,1,8.25,"$3,700",chi,A,min,96,111,33.70,0pt 1rb 4as 1st 2to 0-5fg
39,20181124,5249,PG,Shaquille Harrison,,7.75,"$3,600",chi,A,min,96,111,14.30,0pt 1rb 3as 1st 0-3fg 0-2ft
40,20181124,5168,PG,Frank Jackson,,7.25,"$3,000",nor,A,was,114,124,20.72,5pt 1rb 1as 1to 2-9fg 1-2ft
41,20181124,4948,PG,Andrew Harrison,,6.5,"$3,300",cle,H,hou,117,108,14.35,4pt 2as 1to 2-4fg
42,20181124,5148,PG,Derrick White,,6.25,"$3,700",sas,A,mil,129,135, 5.37,2pt 1rb 2as 1-3fg
43,20181124,4575,PG,Michael Carter-Williams,,5.5,"$3,100",hou,A,cle,108,117, 4.37,5pt 1trey 2-2fg 0-1ft
44,20181124,4611,PG/SG,Ian Clark,,3.75,"$3,100",nor,A,was,114,124, 9.00,2pt 1rb 1as 2to 1-3fg
45,20181124,4908,SG,Troy Williams,,3.25,"$3,000",sac,A,gsw,116,117, 7.65,2pt 1rb 1-3fg
46,20181124,5664,PG,Jalen Brunson,,2.0,"$3,300",dal,H,bos,113,104, 8.60,2pt 1-1fg 0-1ft
47,20181124,4882,PG/SG,Cameron Payne,,1.5,"$3,100",chi,A,min,96,111, 6.62,0pt 1as 0-1fg
48,20181124,5673,SG,Jacob Evans III,,0.0,"$3,000",gsw,H,sac,117,116, 0.53,0pt
49,20181124,5674,SG,Josh Okogie,,0.0,"$3,400",min,H,chi,111,96, 1.00,0pt
50,20181124,3747,PG/SG,Raymond Felton,,0.0,"$3,100",okc,H,den,98,105,DNP,
51,20181124,5250,SG,Jaylen Morris,,0.0,"$3,000",mil,H,sas,135,129,DNP,
52,20181124,5696,PG,DeVaughn Akoon-Purcell,,0.0,"$3,000",den,A,okc,105,98,DNP,
53,20181124,4717,PG/SG,Tim Frazier,,0.0,"$3,000",nor,A,was,114,124,DNP,
54,20181124,5686,SG,Chandler Hutchison,,0.0,"$3,100",chi,A,min,96,111,DNP,
55,20181124,3786,PG,Chris Paul,,0.0,"$7,700",hou,A,cle,108,117,DNP,
56,20181124,4102,PG/SG,George Hill,,0.0,"$3,800",cle,H,hou,117,108,DNP,
57,20181124,4970,PG/SG,Yogi Ferrell,,0.0,"$3,000",sac,A,gsw,116,117,DNP,
58,20181124,4678,SG,Gary Harris,,0.0,"$5,700",den,A,okc,105,98,DNP,
59,20181124,5659,PG/SG,Brad Wanamaker,,0.0,"$3,000",bos,A,dal,104,113,DNP,
60,20181124,4699,PG,Elfrid Payton,,0.0,"$5,500",nor,A,was,114,124,NA,
61,20181124,5143,SG,Devin Robinson,,0.0,"$3,000",was,H,nor,124,114,NA,
